"longitude","latitude"
198.2643,82.5875
198.3153,82.3638
198.3634,82.1401
198.4089,81.9164
198.4518,81.6928
198.4926,81.4693
198.5312,81.2458
198.5679,81.0224
198.6028,80.799
198.6361,80.5758
198.6678,80.3525
198.6981,80.1294
198.727,79.9063
198.7546,79.6833
198.7811,79.4604
198.8065,79.2376
198.8309,79.0148
198.8542,78.7921
198.8767,78.5695
198.8983,78.347
198.9191,78.1246
198.9391,77.9022
198.9584,77.68
198.977,77.4578
198.9949,77.2357
199.0122,77.0138
199.029,76.7919
199.0452,76.5701
199.0608,76.3484
199.076,76.1269
199.0906,75.9054
199.1048,75.684
199.1186,75.4628
199.1319,75.2416
199.1449,75.0206
199.1575,74.7997
199.1697,74.5788
199.1815,74.3581
199.1931,74.1376
199.2043,73.9171
199.2152,73.6967
199.2258,73.4765
199.2361,73.2564
199.2462,73.0364
199.256,72.8166
199.2655,72.5968
199.2748,72.3772
199.2838,72.1578
199.2927,71.9384
199.3013,71.7192
199.3097,71.5001
199.3179,71.2812
199.326,71.0624
199.3338,70.8437
199.3415,70.6252
199.3489,70.4068
199.3563,70.1886
199.4543,66.7175
199.4595,66.5019
199.4645,66.2865
199.4695,66.0713
199.5993,58.6544
199.6021,58.4461
199.6049,58.238
21.5275,73.252
21.5481,73.472
21.5693,73.6922
21.5911,73.9125
21.6135,74.1329
21.6366,74.3534
21.6603,74.574
21.6847,74.7948
21.7098,75.0156
21.7357,75.2366
21.7624,75.4577
21.7899,75.6789
21.8183,75.9001
21.8476,76.1215
21.8779,76.343
21.9091,76.5646
21.9415,76.7863
21.9749,77.008
22.0095,77.2299
22.0454,77.4519
22.0826,77.6739
22.1611,78.1183
22.2026,78.3406
22.2457,78.563
22.2906,78.7854
22.3373,79.008
22.3859,79.2306
22.4366,79.4533
22.5448,79.8989
22.6026,80.1218
22.663,80.3448
22.7263,80.5678
22.7927,80.7909
22.8624,81.014
22.9357,81.2372
23.0128,81.4605
23.0941,81.6838
23.1798,81.9071
23.2705,82.1305
23.3665,82.3539
23.4682,82.5774
23.5763,82.8009
23.6914,83.0244
23.8141,83.2479
23.9452,83.4715
24.0856,83.6951
24.2364,83.9187
24.3987,84.1422
24.5739,84.3658
24.7636,84.5894
24.9697,84.8129
25.1944,85.0364
194.8056,85.0364
195.0303,84.8129
195.2363,84.5894
195.4261,84.3658
195.6013,84.1422
195.7636,83.9187
195.9144,83.6951
196.0548,83.4715
196.1859,83.2479
196.3086,83.0244
196.4237,82.8009
196.5318,82.5774
196.6335,82.3539
196.7295,82.1305
196.8202,81.9071
196.9059,81.6838
196.9872,81.4605
197.0643,81.2372
197.1376,81.014
197.2073,80.7909
197.2737,80.5678
197.337,80.3448
197.3974,80.1218
197.4552,79.8989
197.5105,79.6761
197.5634,79.4533
197.614,79.2306
197.6627,79.008
197.7094,78.7854
197.7543,78.563
197.7974,78.3406
197.8389,78.1183
197.8789,77.896
197.9174,77.6739
197.9546,77.4519
197.9904,77.2299
198.0251,77.008
198.0585,76.7863
198.0909,76.5646
198.1221,76.343
198.1524,76.1215
198.1817,75.9001
198.2101,75.6789
198.2376,75.4577
198.2643,75.2366
198.2902,75.0156
198.3153,74.7948
198.3397,74.574
198.3634,74.3534
198.3865,74.1329
198.4089,73.9125
198.4306,73.6922
198.4518,73.472
198.4725,73.252
198.4926,73.0321
198.5121,72.8123
198.5312,72.5926
198.5498,72.3731
198.5679,72.1536
198.5856,71.9344
198.6028,71.7152
198.6196,71.4962
198.6361,71.2773
198.6521,71.0585
198.6678,70.8399
198.6831,70.6215
198.6981,70.4031
198.7127,70.1849
198.9088,66.7144
198.9191,66.4989
198.9292,66.2835
198.9391,66.0683
199.0037,64.5666
199.0371,63.7125
199.1931,58.8607
199.1987,58.6522
199.2043,58.4439
199.2098,58.2358
21.5074,64.7759
21.5208,64.99
21.5343,65.2043
21.5481,65.4188
21.9525,70.3969
22.2605,73.0248
22.2906,73.2447
22.3215,73.4646
22.3533,73.6847
22.3859,73.9048
22.4195,74.1251
22.454,74.3455
22.4895,74.5661
22.5261,74.7867
22.5638,75.0074
22.6026,75.2282
22.6425,75.4492
